# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 6000.0000000000  0.0562532379 0.5825680489
  45.0000000000 5979.0700000000  0.0562736247 0.5825140703
  45.0000000000 5958.2800000000  0.0562944866 0.5824586296
  45.0000000000 5937.6400000000  0.0563158075 0.5824017735
  45.0000000000 5917.1400000000  0.0563375910 0.5823434944
  45.0000000000 5896.7800000000  0.0563598313 0.5822838114
  45.0000000000 5876.5600000000  0.0563825222 0.5822227438
  45.0000000000 5856.4800000000  0.0564056574 0.5821603110
  45.0000000000 5836.5400000000  0.0564292307 0.5820965330
  45.0000000000 5816.7300000000  0.0564532479 0.5820313965
  45.0000000000 5797.0500000000  0.0564777035 0.5819649190
  45.0000000000 5777.5100000000  0.0565025789 0.5818971536
  45.0000000000 5758.1000000000  0.0565278807 0.5818280851
  45.0000000000 5738.8200000000  0.0565536031 0.5817577318
  45.0000000000 5719.6700000000  0.0565797401 0.5816861124
  45.0000000000 5700.6400000000  0.0566062999 0.5816132069
  45.0000000000 5681.7400000000  0.0566332630 0.5815390712
  45.0000000000 5662.9700000000  0.0566606232 0.5814637248
  45.0000000000 5644.3200000000  0.0566883894 0.5813871456
  45.0000000000 5625.7900000000  0.0567165562 0.5813093507
  45.0000000000 5607.3800000000  0.0567451183 0.5812303572
  45.0000000000 5589.1000000000  0.0567740540 0.5811502269
  45.0000000000 5570.9300000000  0.0568033895 0.5810688898
  45.0000000000 5552.8800000000  0.0568331034 0.5809864072
  45.0000000000 5534.9500000000  0.0568631901 0.5809027970
  45.0000000000 5517.1300000000  0.0568936611 0.5808180297
  45.0000000000 5499.4300000000  0.0569244937 0.5807321698
  45.0000000000 5481.8400000000  0.0569557000 0.5806451862
  45.0000000000 5464.3600000000  0.0569872749 0.5805570950
  45.0000000000 5446.9900000000  0.0570192134 0.5804679124
  45.0000000000 5429.7400000000  0.0570514913 0.5803777078
  45.0000000000 5412.5900000000  0.0570841408 0.5802863932
  45.0000000000 5395.5500000000  0.0571171380 0.5801940374
  45.0000000000 5378.6100000000  0.0571504974 0.5801006018
  45.0000000000 5361.7900000000  0.0571841742 0.5800062140
  45.0000000000 5345.0700000000  0.0572182029 0.5799107792
  45.0000000000 5328.4500000000  0.0572525788 0.5798143122
  45.0000000000 5311.9300000000  0.0572872973 0.5797168279
  45.0000000000 5295.5200000000  0.0573223322 0.5796184019
  45.0000000000 5279.2100000000  0.0573576994 0.5795189910
  45.0000000000 5263.0000000000  0.0573933943 0.5794186107
  45.0000000000 5246.8800000000  0.0574294342 0.5793172132
  45.0000000000 5230.8700000000  0.0574657696 0.5792149402
  45.0000000000 5214.9500000000  0.0575024408 0.5791116798
  45.0000000000 5199.1300000000  0.0575394202 0.5790075117
  45.0000000000 5183.4100000000  0.0575767026 0.5789024522
  45.0000000000 5167.7800000000  0.0576143069 0.5787964495
  45.0000000000 5152.2400000000  0.0576522290 0.5786895173
  45.0000000000 5136.8000000000  0.0576904395 0.5785817397
  45.0000000000 5121.4500000000  0.0577289584 0.5784730625
