# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 6000.0000000000  0.7684660233 0.0903745491
  45.0000000000 5979.0700000000  0.7680870154 0.0907352518
  45.0000000000 5958.2800000000  0.7676982190 0.0911044138
  45.0000000000 5937.6400000000  0.7672990537 0.0914824732
  45.0000000000 5917.1400000000  0.7668893614 0.0918692312
  45.0000000000 5896.7800000000  0.7664698179 0.0922650958
  45.0000000000 5876.5600000000  0.7660398409 0.0926701412
  45.0000000000 5856.4800000000  0.7655997291 0.0930843713
  45.0000000000 5836.5400000000  0.7651483791 0.0935083566
  45.0000000000 5816.7300000000  0.7646860811 0.0939417157
  45.0000000000 5797.0500000000  0.7642135337 0.0943848891
  45.0000000000 5777.5100000000  0.7637296828 0.0948382473
  45.0000000000 5758.1000000000  0.7632347877 0.0953017255
  45.0000000000 5738.8200000000  0.7627286647 0.0957755428
  45.0000000000 5719.6700000000  0.7622106702 0.0962597975
  45.0000000000 5700.6400000000  0.7616819740 0.0967546823
  45.0000000000 5681.7400000000  0.7611414787 0.0972605964
  45.0000000000 5662.9700000000  0.7605889836 0.0977777845
  45.0000000000 5644.3200000000  0.7600242751 0.0983060675
  45.0000000000 5625.7900000000  0.7594480898 0.0988459616
  45.0000000000 5607.3800000000  0.7588597544 0.0993975944
  45.0000000000 5589.1000000000  0.7582585872 0.0999615382
  45.0000000000 5570.9300000000  0.7576458379 0.1005372381
  45.0000000000 5552.8800000000  0.7570192773 0.1011255771
  45.0000000000 5534.9500000000  0.7563801817 0.1017269093
  45.0000000000 5517.1300000000  0.7557283144 0.1023410783
  45.0000000000 5499.4300000000  0.7550629629 0.1029687033
  45.0000000000 5481.8400000000  0.7543843736 0.1036097805
  45.0000000000 5464.3600000000  0.7536917931 0.1042644778
  45.0000000000 5446.9900000000  0.7529860025 0.1049334237
  45.0000000000 5429.7400000000  0.7522657442 0.1056171378
  45.0000000000 5412.5900000000  0.7515317541 0.1063153121
  45.0000000000 5395.5500000000  0.7507832758 0.1070286334
  45.0000000000 5378.6100000000  0.7500200082 0.1077569719
  45.0000000000 5361.7900000000  0.7492417400 0.1085017064
  45.0000000000 5345.0700000000  0.7484486723 0.1092623907
  45.0000000000 5328.4500000000  0.7476411235 0.1100391591
  45.0000000000 5311.9300000000  0.7468170584 0.1108327731
  45.0000000000 5295.5200000000  0.7459773696 0.1116440916
  45.0000000000 5279.2100000000  0.7451217178 0.1124730341
  45.0000000000 5263.0000000000  0.7442497958 0.1133200518
  45.0000000000 5246.8800000000  0.7433618223 0.1141852454
  45.0000000000 5230.8700000000  0.7424558192 0.1150696374
  45.0000000000 5214.9500000000  0.7415337014 0.1159733584
  45.0000000000 5199.1300000000  0.7405940106 0.1168971044
  45.0000000000 5183.4100000000  0.7396363982 0.1178414056
  45.0000000000 5167.7800000000  0.7386610591 0.1188064269
  45.0000000000 5152.2400000000  0.7376670154 0.1197925225
  45.0000000000 5136.8000000000  0.7366545800 0.1208010560
  45.0000000000 5121.4500000000  0.7356233151 0.1218320401
  45.0000000000 5106.1900000000  0.7345735244 0.1228857672
  45.0000000000 5091.0200000000  0.7335034442 0.1239635118
  45.0000000000 5075.9500000000  0.7324121168 0.1250658035
  45.0000000000 5060.9600000000  0.7313015809 0.1261929457
  45.0000000000 5046.0600000000  0.7301701872 0.1273458318
  45.0000000000 5031.2400000000  0.7290180851 0.1285247711
  45.0000000000 5016.5200000000  0.7278429628 0.1297311218
  45.0000000000 5001.8800000000  0.7266469058 0.1309652867
  45.0000000000 4987.3200000000  0.7254287711 0.1322278329
  45.0000000000 4972.8500000000  0.7241874766 0.1335200269
  45.0000000000 4958.4600000000  0.7229653302 0.1347954423
  45.0000000000 4944.1600000000  0.7225103645 0.1352337784
  45.0000000000 4929.9400000000  0.7220456371 0.1356801646
  45.0000000000 4915.8000000000  0.7215717463 0.1361349892
  45.0000000000 4901.7400000000  0.7210893053 0.1365986523
  45.0000000000 4887.7600000000  0.7205967172 0.1370707736
  45.0000000000 4873.8600000000  0.7200945865 0.1375517567
  45.0000000000 4860.0400000000  0.7195827824 0.1380417487
  45.0000000000 4846.2900000000  0.7190625597 0.1385407063
  45.0000000000 4832.6300000000  0.7185310142 0.1390491701
  45.0000000000 4819.0400000000  0.7179908463 0.1395662239
  45.0000000000 4805.5300000000  0.7174396503 0.1400933080
  45.0000000000 4792.0900000000  0.7168795152 0.1406299852
  45.0000000000 4778.7300000000  0.7163081146 0.1411763331
  45.0000000000 4765.4400000000  0.7157267203 0.1417323195
  45.0000000000 4752.2300000000  0.7151353247 0.1422988840
  45.0000000000 4739.0900000000  0.7145328607 0.1428751415
  45.0000000000 4726.0200000000  0.7139199647 0.1434615517
  45.0000000000 4713.0200000000  0.7132964871 0.1440582918
  45.0000000000 4700.1000000000  0.7126624172 0.1446663402
  45.0000000000 4687.2400000000  0.7120173193 0.1452842930
  45.0000000000 4674.4600000000  0.7113613822 0.1459131847
  45.0000000000 4661.7400000000  0.7106943626 0.1465532246
  45.0000000000 4649.1000000000  0.7100152140 0.1472050216
  45.0000000000 4636.5200000000  0.7093251234 0.1478677616
  45.0000000000 4624.0100000000  0.7086234111 0.1485422208
  45.0000000000 4611.5700000000  0.7079098211 0.1492285795
  45.0000000000 4599.1900000000  0.7071848697 0.1499265319
  45.0000000000 4586.8900000000  0.7064469094 0.1506373081
  45.0000000000 4574.6400000000  0.7056980164 0.1513596226
  45.0000000000 4562.4600000000  0.7049365336 0.1520947195
  45.0000000000 4550.3500000000  0.7041621834 0.1528428019
  45.0000000000 4538.3000000000  0.7033756566 0.1536036404
  45.0000000000 4526.3200000000  0.7025769243 0.1543774798
  45.0000000000 4514.3900000000  0.7017652210 0.1551644446
  45.0000000000 4502.5300000000  0.7009400505 0.1559654471
  45.0000000000 4490.7400000000  0.7001011153 0.1567807183
  45.0000000000 4479.0000000000  0.6992495682 0.1576093775
  45.0000000000 4467.3200000000  0.6983846637 0.1584523154
  45.0000000000 4455.7100000000  0.6975053654 0.1593103357
  45.0000000000 4444.1600000000  0.6966121875 0.1601831605
  45.0000000000 4432.6600000000  0.6957055614 0.1610704649
  45.0000000000 4421.2300000000  0.6947839676 0.1619737631
  45.0000000000 4409.8500000000  0.6938485766 0.1628921668
  45.0000000000 4398.5300000000  0.6928993607 0.1638259573
  45.0000000000 4387.2700000000  0.6919341959 0.1647766472
  45.0000000000 4376.0700000000  0.6909537808 0.1657439657
  45.0000000000 4364.9300000000  0.6899577715 0.1667282037
  45.0000000000 4353.8400000000  0.6889468827 0.1677291806
  45.0000000000 4342.8100000000  0.6879199978 0.1687477992
  45.0000000000 4331.8300000000  0.6868775350 0.1697837624
  45.0000000000 4320.9100000000  0.6858186551 0.1708381250
  45.0000000000 4310.0400000000  0.6847437745 0.1719105996
  45.0000000000 4299.2300000000  0.6836518357 0.1730021835
  45.0000000000 4288.4700000000  0.6825432487 0.1741125964
  45.0000000000 4277.7700000000  0.6814171409 0.1752429541
  45.0000000000 4267.1200000000  0.6802750721 0.1763923466
  45.0000000000 4256.5200000000  0.6791143540 0.1775624142
  45.0000000000 4245.9700000000  0.6779360440 0.1787530389
  45.0000000000 4235.4800000000  0.6767389179 0.1799652621
  45.0000000000 4225.0400000000  0.6755233703 0.1811988357
  45.0000000000 4214.6500000000  0.6742893016 0.1824543142
  45.0000000000 4204.3100000000  0.6730362841 0.1837321185
  45.0000000000 4194.0200000000  0.6717638796 0.1850326789
  45.0000000000 4183.7800000000  0.6704719729 0.1863565917
  45.0000000000 4173.6000000000  0.6691592660 0.1877049996
  45.0000000000 4163.4600000000  0.6678270975 0.1890770591
  45.0000000000 4153.3700000000  0.6664754261 0.1904731990
  45.0000000000 4143.3300000000  0.6651015823 0.1918955332
  45.0000000000 4133.3300000000  0.6637072058 0.1933431430
  45.0000000000 4123.3900000000  0.6626174922 0.1941971101
  45.0000000000 4113.4900000000  0.6615385417 0.1950179452
  45.0000000000 4103.6400000000  0.6604447557 0.1958512055
  45.0000000000 4093.8400000000  0.6593343638 0.1966977411
  45.0000000000 4084.0900000000  0.6582099301 0.1975562573
  45.0000000000 4074.3800000000  0.6570708102 0.1984269900
  45.0000000000 4064.7100000000  0.6559154413 0.1993109222
  45.0000000000 4055.1000000000  0.6547445350 0.2002081395
  45.0000000000 4045.5200000000  0.6535593306 0.2011174846
  45.0000000000 4036.0000000000  0.6523552830 0.2020420757
  45.0000000000 4026.5100000000  0.6511377679 0.2029783275
  45.0000000000 4017.0800000000  0.6499024597 0.2039295063
  45.0000000000 4007.6800000000  0.6486504409 0.2048944067
  45.0000000000 3998.3300000000  0.6473824852 0.2058730936
  45.0000000000 3989.0300000000  0.6460970637 0.2068666925
  45.0000000000 3979.7600000000  0.6447940886 0.2078746223
  45.0000000000 3970.5400000000  0.6434744842 0.2088970077
  45.0000000000 3961.3700000000  0.6421365546 0.2099349429
  45.0000000000 3952.2300000000  0.6407804392 0.2109879874
  45.0000000000 3943.1400000000  0.6394070941 0.2120562649
  45.0000000000 3934.0900000000  0.6380154759 0.2131399736
  45.0000000000 3925.0800000000  0.6366039336 0.2142403351
  45.0000000000 3916.1100000000  0.6351752304 0.2153558060
  45.0000000000 3907.1800000000  0.6337275922 0.2164875407
  45.0000000000 3898.2900000000  0.6322591936 0.2176367307
  45.0000000000 3889.4500000000  0.6307720143 0.2188026899
  45.0000000000 3880.6400000000  0.6292659103 0.2199848353
  45.0000000000 3871.8700000000  0.6278406184 0.2210531236
  45.0000000000 3863.1500000000  0.6266517292 0.2218067061
  45.0000000000 3854.4600000000  0.6254495793 0.2225693149
  45.0000000000 3845.8100000000  0.6242349113 0.2233410813
  45.0000000000 3837.2000000000  0.6230042015 0.2241239867
  45.0000000000 3828.6300000000  0.6217587620 0.2249171110
  45.0000000000 3820.0900000000  0.6205013421 0.2257189043
  45.0000000000 3811.6000000000  0.6192262193 0.2265329963
  45.0000000000 3803.1400000000  0.6179371346 0.2273569993
  45.0000000000 3794.7200000000  0.6166344626 0.2281908016
  45.0000000000 3786.3300000000  0.6153155574 0.2290356029
  45.0000000000 3777.9900000000  0.6139801546 0.2298924225
  45.0000000000 3769.6800000000  0.6126299757 0.2307595873
  45.0000000000 3761.4000000000  0.6112664400 0.2316361022
  45.0000000000 3753.1700000000  0.6098841481 0.2325260874
  45.0000000000 3744.9700000000  0.6084865499 0.2334268210
  45.0000000000 3736.8000000000  0.6070750913 0.2343372892
  45.0000000000 3728.6700000000  0.6056453207 0.2352607998
  45.0000000000 3720.5800000000  0.6041985210 0.2361962717
  45.0000000000 3712.5200000000  0.6027376135 0.2371420602
  45.0000000000 3704.4900000000  0.6012587039 0.2381003667
  45.0000000000 3696.5000000000  0.5997621930 0.2390710717
  45.0000000000 3688.5500000000  0.5982499853 0.2400534152
  45.0000000000 3680.6300000000  0.5967191602 0.2410487466
  45.0000000000 3672.7400000000  0.5951712025 0.2420560226
  45.0000000000 3664.8800000000  0.5936061949 0.2430755850
  45.0000000000 3657.0600000000  0.5920244658 0.2441071823
  45.0000000000 3649.2800000000  0.5904223411 0.2451534343
  45.0000000000 3641.5200000000  0.5890311751 0.2458922251
  45.0000000000 3633.8000000000  0.5877536149 0.2464593196
  45.0000000000 3626.1100000000  0.5864663283 0.2470315430
  45.0000000000 3618.4600000000  0.5851640198 0.2476119898
  45.0000000000 3610.8400000000  0.5838497283 0.2481987229
  45.0000000000 3603.2400000000  0.5825264034 0.2487896729
  45.0000000000 3595.6800000000  0.5811880095 0.2493892216
  45.0000000000 3588.1600000000  0.5798380710 0.2499948684
  45.0000000000 3580.6600000000  0.5784749017 0.2506072257
  45.0000000000 3573.1900000000  0.5770992645 0.2512261145
  45.0000000000 3565.7600000000  0.5757120906 0.2518514549
  45.0000000000 3558.3600000000  0.5743101164 0.2524845176
  45.0000000000 3550.9800000000  0.5728985110 0.2531220921
  45.0000000000 3543.6400000000  0.5714710522 0.2537686808
  45.0000000000 3536.3300000000  0.5700304862 0.2544219470
  45.0000000000 3529.0500000000  0.5685789058 0.2550808258
  45.0000000000 3521.8000000000  0.5671121157 0.2557478123
  45.0000000000 3514.5700000000  0.5656333282 0.2564208704
  45.0000000000 3507.3800000000  0.5641419907 0.2571005418
  45.0000000000 3500.2200000000  0.5626351103 0.2577884894
  45.0000000000 3493.0800000000  0.5611179074 0.2584812857
  45.0000000000 3485.9800000000  0.5595839402 0.2591835759
  45.0000000000 3478.9000000000  0.5580372084 0.2598919466
  45.0000000000 3471.8600000000  0.5564776027 0.2606072853
  45.0000000000 3464.8400000000  0.5549031836 0.2613303015
  45.0000000000 3457.8500000000  0.5533167205 0.2620592578
  45.0000000000 3450.8800000000  0.5517150925 0.2627958725
  45.0000000000 3443.9500000000  0.5500980402 0.2635409348
  45.0000000000 3437.0400000000  0.5491600090 0.2640023874
  45.0000000000 3430.1600000000  0.5482181553 0.2644674418
  45.0000000000 3423.3100000000  0.5472673558 0.2649381079
  45.0000000000 3416.4900000000  0.5463076840 0.2654145545
  45.0000000000 3409.6900000000  0.5453399717 0.2658955476
  45.0000000000 3402.9200000000  0.5443653632 0.2663809539
  45.0000000000 3396.1800000000  0.5433793253 0.2668734542
  45.0000000000 3389.4600000000  0.5423852017 0.2673707427
  45.0000000000 3382.7700000000  0.5413817519 0.2678738909
  45.0000000000 3376.1100000000  0.5403689095 0.2683829427
  45.0000000000 3369.4700000000  0.5393477957 0.2688969010
  45.0000000000 3362.8600000000  0.5383171612 0.2694168465
  45.0000000000 3356.2700000000  0.5372781316 0.2699417769
  45.0000000000 3349.7100000000  0.5362317635 0.2704714175
  45.0000000000 3343.1800000000  0.5351733755 0.2710085313
  45.0000000000 3336.6700000000  0.5341064024 0.2715507520
  45.0000000000 3330.1900000000  0.5330295806 0.2720991756
  45.0000000000 3323.7300000000  0.5319440472 0.2726527869
  45.0000000000 3317.3000000000  0.5308485331 0.2732126880
  45.0000000000 3310.8900000000  0.5297441801 0.2737778586
  45.0000000000 3304.5000000000  0.5286309264 0.2743483368
  45.0000000000 3298.1400000000  0.5275098828 0.2749238307
  45.0000000000 3291.8100000000  0.5263762132 0.2755071889
  45.0000000000 3285.5000000000  0.5252335841 0.2760961252
  45.0000000000 3279.2100000000  0.5240816584 0.2766903944
  45.0000000000 3272.9500000000  0.5229192852 0.2772912618
  45.0000000000 3266.7100000000  0.5217476220 0.2778976886
  45.0000000000 3260.5000000000  0.5206581034 0.2784194561
  45.0000000000 3254.3100000000  0.5197363306 0.2787722943
  45.0000000000 3248.1400000000  0.5188077082 0.2791287210
  45.0000000000 3241.9900000000  0.5178697266 0.2794902031
  45.0000000000 3235.8700000000  0.5169260439 0.2798549680
  45.0000000000 3229.7800000000  0.5159741523 0.2802244860
  45.0000000000 3223.7000000000  0.5150164946 0.2805965754
  45.0000000000 3217.6500000000  0.5140505480 0.2809734613
  45.0000000000 3211.6200000000  0.5130775159 0.2813540616
  45.0000000000 3205.6100000000  0.5120973605 0.2817383959
  45.0000000000 3199.6300000000  0.5111062611 0.2821290727
  45.0000000000 3193.6600000000  0.5101117346 0.2825209397
  45.0000000000 3187.7200000000  0.5091087145 0.2829177176
  45.0000000000 3181.8100000000  0.5080971565 0.2833194331
  45.0000000000 3175.9100000000  0.5070795378 0.2837238667
  45.0000000000 3170.0400000000  0.5060533013 0.2841332818
  45.0000000000 3164.1800000000  0.5050207991 0.2845452908
  45.0000000000 3158.3500000000  0.5039771421 0.2849639876
  45.0000000000 3152.5400000000  0.5029285949 0.2853851035
  45.0000000000 3146.7500000000  0.5018725375 0.2858101586
  45.0000000000 3140.9900000000  0.5008076591 0.2862403098
  45.0000000000 3135.2400000000  0.4997364665 0.2866733041
  45.0000000000 3129.5200000000  0.4986563738 0.2871114384
  45.0000000000 3123.8100000000  0.4975698963 0.2875524500
  45.0000000000 3118.1300000000  0.4964717870 0.2880001794
  45.0000000000 3112.4700000000  0.4953685832 0.2884504399
  45.0000000000 3106.8200000000  0.4942588890 0.2889036286
  45.0000000000 3101.2000000000  0.4931400990 0.2893620665
  45.0000000000 3095.6000000000  0.4923510302 0.2897735506
  45.0000000000 3090.0200000000  0.4917051490 0.2901661227
  45.0000000000 3084.4600000000  0.4910533821 0.2905628243
  45.0000000000 3078.9200000000  0.4903958247 0.2909638539
  45.0000000000 3073.4000000000  0.4897325719 0.2913694134
  45.0000000000 3067.8900000000  0.4890646277 0.2917780199
  45.0000000000 3062.4100000000  0.4883894875 0.2921922133
  45.0000000000 3056.9500000000  0.4877085445 0.2926110306
  45.0000000000 3051.5100000000  0.4870215012 0.2930341553
  45.0000000000 3046.0800000000  0.4863269993 0.2934622068
  45.0000000000 3040.6800000000  0.4856279013 0.2938943893
  45.0000000000 3035.2900000000  0.4849241696 0.2943301374
  45.0000000000 3029.9300000000  0.4842128787 0.2947714999
  45.0000000000 3024.5800000000  0.4834967540 0.2952163091
  45.0000000000 3019.2500000000  0.4827745747 0.2956659639
  45.0000000000 3013.9400000000  0.4820460415 0.2961201379
  45.0000000000 3008.6500000000  0.4813112479 0.2965790429
  45.0000000000 3003.3800000000  0.4805701564 0.2970427118
  45.0000000000 2998.1300000000  0.4798228602 0.2975113611
  45.0000000000 2992.8900000000  0.4790675431 0.2979850976
  45.0000000000 2987.6700000000  0.4783086586 0.2984620497
  45.0000000000 2982.4700000000  0.4775434596 0.2989440803
  45.0000000000 2977.2900000000  0.4767716457 0.2994308520
  45.0000000000 2972.1300000000  0.4759933094 0.2999225842
  45.0000000000 2966.9800000000  0.4752098865 0.3004182775
  45.0000000000 2961.8600000000  0.4744183913 0.3009200328
  45.0000000000 2956.7500000000  0.4736216052 0.3014256241
  45.0000000000 2951.6500000000  0.4728405527 0.3019301025
  45.0000000000 2946.5800000000  0.4724622580 0.3023422380
  45.0000000000 2941.5200000000  0.4720837840 0.3027561439
  45.0000000000 2936.4800000000  0.4717007011 0.3031745854
  45.0000000000 2931.4600000000  0.4713132450 0.3035979859
  45.0000000000 2926.4500000000  0.4709226197 0.3040249420
  45.0000000000 2921.4700000000  0.4705260740 0.3044579803
  45.0000000000 2916.4900000000  0.4701246984 0.3048951227
  45.0000000000 2911.5400000000  0.4697203162 0.3053366941
  45.0000000000 2906.6000000000  0.4693126681 0.3057819512
  45.0000000000 2901.6800000000  0.4689002237 0.3062319850
  45.0000000000 2896.7800000000  0.4684832221 0.3066872324
  45.0000000000 2891.8900000000  0.4680598613 0.3071480293
  45.0000000000 2887.0200000000  0.4676347690 0.3076121541
  45.0000000000 2882.1600000000  0.4672062905 0.3080801299
  45.0000000000 2877.3200000000  0.4667730156 0.3085532643
