# Incident Angle Wavelength  Reflectance 
  0.0000000000 500.0000000000  0.4146341463 0.0000000000
  1.0000000000 500.0000000000  0.4148416323 0.0000000000
  2.0000000000 500.0000000000  0.4154635434 0.0000000000
  3.0000000000 500.0000000000  0.4164982376 0.0000000000
  4.0000000000 500.0000000000  0.4179429757 0.0000000000
  5.0000000000 500.0000000000  0.4197939173 0.0000000000
  6.0000000000 500.0000000000  0.4220461160 0.0000000000
  7.0000000000 500.0000000000  0.4246935160 0.0000000000
  8.0000000000 500.0000000000  0.4277289488 0.0000000000
  9.0000000000 500.0000000000  0.4311441334 0.0000000000
  10.0000000000 500.0000000000  0.4349296802 0.0000000000
  11.0000000000 500.0000000000  0.4390751002 0.0000000000
  12.0000000000 500.0000000000  0.4435688212 0.0000000000
  13.0000000000 500.0000000000  0.4483982119 0.0000000000
  14.0000000000 500.0000000000  0.4535496151 0.0000000000
  15.0000000000 500.0000000000  0.4590083909 0.0000000000
  16.0000000000 500.0000000000  0.4647589717 0.0000000000
  17.0000000000 500.0000000000  0.4707849271 0.0000000000
  18.0000000000 500.0000000000  0.4770690412 0.0000000000
  19.0000000000 500.0000000000  0.4835934011 0.0000000000
  20.0000000000 500.0000000000  0.4903394951 0.0000000000
  21.0000000000 500.0000000000  0.4972883219 0.0000000000
  22.0000000000 500.0000000000  0.5044205071 0.0000000000
  23.0000000000 500.0000000000  0.5117164274 0.0000000000
  24.0000000000 500.0000000000  0.5191563399 0.0000000000
  25.0000000000 500.0000000000  0.5267205147 0.0000000000
  26.0000000000 500.0000000000  0.5343893688 0.0000000000
  27.0000000000 500.0000000000  0.5421435995 0.0000000000
  28.0000000000 500.0000000000  0.5499643149 0.0000000000
  29.0000000000 500.0000000000  0.5578331597 0.0000000000
  30.0000000000 500.0000000000  0.5657324349 0.0000000000
  31.0000000000 500.0000000000  0.5736452088 0.0000000000
  32.0000000000 500.0000000000  0.5815554191 0.0000000000
  33.0000000000 500.0000000000  0.5894479641 0.0000000000
  34.0000000000 500.0000000000  0.5973087829 0.0000000000
  35.0000000000 500.0000000000  0.6051249230 0.0000000000
  36.0000000000 500.0000000000  0.6128845967 0.0000000000
  37.0000000000 500.0000000000  0.6205772249 0.0000000000
  38.0000000000 500.0000000000  0.6281934684 0.0000000000
  39.0000000000 500.0000000000  0.6357252491 0.0000000000
  40.0000000000 500.0000000000  0.6431657594 0.0000000000
  41.0000000000 500.0000000000  0.6505094624 0.0000000000
  42.0000000000 500.0000000000  0.6577520821 0.0000000000
  43.0000000000 500.0000000000  0.6648905871 0.0000000000
  44.0000000000 500.0000000000  0.6719231655 0.0000000000
  45.0000000000 500.0000000000  0.6788491948 0.0000000000
