# Incident Angle Wavelength  Reflectance 
  0.0000000000 500.0000000000  0.0696564559 0.3280969134
  1.0000000000 500.0000000000  0.0696098588 0.3280931722
  2.0000000000 500.0000000000  0.0694700331 0.3280819840
  3.0000000000 500.0000000000  0.0692368791 0.3280634548
  4.0000000000 500.0000000000  0.0689102412 0.3280377567
  5.0000000000 500.0000000000  0.0684899239 0.3280051229
  6.0000000000 500.0000000000  0.0679757134 0.3279658391
  7.0000000000 500.0000000000  0.0673674058 0.3279202333
  8.0000000000 500.0000000000  0.0666648406 0.3278686637
  9.0000000000 500.0000000000  0.0658679395 0.3278115035
  10.0000000000 500.0000000000  0.0649767499 0.3277491251
  11.0000000000 500.0000000000  0.0639914930 0.3276818817
  12.0000000000 500.0000000000  0.0629126154 0.3276100881
  13.0000000000 500.0000000000  0.0617408438 0.3275339990
  14.0000000000 500.0000000000  0.0604772415 0.3274537877
  15.0000000000 500.0000000000  0.0591232659 0.3273695232
  16.0000000000 500.0000000000  0.0576808261 0.3272811472
  17.0000000000 500.0000000000  0.0561523390 0.3271884515
  18.0000000000 500.0000000000  0.0545407822 0.3270910555
  19.0000000000 500.0000000000  0.0528497431 0.3269883854
  20.0000000000 500.0000000000  0.0510834614 0.3268796546
  21.0000000000 500.0000000000  0.0492468640 0.3267638468
  22.0000000000 500.0000000000  0.0473455896 0.3266397021
  23.0000000000 500.0000000000  0.0453860026 0.3265057061
  24.0000000000 500.0000000000  0.0433751924 0.3263600845
  25.0000000000 500.0000000000  0.0413209587 0.3262008012
  26.0000000000 500.0000000000  0.0392317786 0.3260255633
  27.0000000000 500.0000000000  0.0371167566 0.3258318312
  28.0000000000 500.0000000000  0.0349855550 0.3256168355
  29.0000000000 500.0000000000  0.0328483043 0.3253776008
  30.0000000000 500.0000000000  0.0307154947 0.3251109756
  31.0000000000 500.0000000000  0.0285978476 0.3248136696
  32.0000000000 500.0000000000  0.0265061710 0.3244822965
  33.0000000000 500.0000000000  0.0244511983 0.3241134224
  34.0000000000 500.0000000000  0.0224434168 0.3237036190
  35.0000000000 500.0000000000  0.0204928868 0.3232495190
  36.0000000000 500.0000000000  0.0186090597 0.3227478737
  37.0000000000 500.0000000000  0.0168005981 0.3221956094
  38.0000000000 500.0000000000  0.0150752066 0.3215898811
  39.0000000000 500.0000000000  0.0134394792 0.3209281211
  40.0000000000 500.0000000000  0.0118987713 0.3202080789
  41.0000000000 500.0000000000  0.0104571037 0.3194278517
  42.0000000000 500.0000000000  0.0091171060 0.3185859002
  43.0000000000 500.0000000000  0.0078800065 0.3176810502
  44.0000000000 500.0000000000  0.0067456734 0.3167124750
