# Incident Angle Wavelength  Reflectance 
  0.0000000000 500.0000000000  0.4146341463 0.0000000000
  1.0000000000 500.0000000000  0.4147203728 0.0000000000
  2.0000000000 500.0000000000  0.4149784232 0.0000000000
  3.0000000000 500.0000000000  0.4154064136 0.0000000000
  4.0000000000 500.0000000000  0.4160012171 0.0000000000
  5.0000000000 500.0000000000  0.4167584823 0.0000000000
  6.0000000000 500.0000000000  0.4176726599 0.0000000000
  7.0000000000 500.0000000000  0.4187370354 0.0000000000
  8.0000000000 500.0000000000  0.4199437700 0.0000000000
  9.0000000000 500.0000000000  0.4212839468 0.0000000000
  10.0000000000 500.0000000000  0.4227476240 0.0000000000
  11.0000000000 500.0000000000  0.4243238934 0.0000000000
  12.0000000000 500.0000000000  0.4260009437 0.0000000000
  13.0000000000 500.0000000000  0.4277661287 0.0000000000
  14.0000000000 500.0000000000  0.4296060391 0.0000000000
  15.0000000000 500.0000000000  0.4315065766 0.0000000000
  16.0000000000 500.0000000000  0.4334530311 0.0000000000
  17.0000000000 500.0000000000  0.4354301584 0.0000000000
  18.0000000000 500.0000000000  0.4374222581 0.0000000000
  19.0000000000 500.0000000000  0.4394132515 0.0000000000
  20.0000000000 500.0000000000  0.4413867572 0.0000000000
  21.0000000000 500.0000000000  0.4433261649 0.0000000000
  22.0000000000 500.0000000000  0.4452147056 0.0000000000
  23.0000000000 500.0000000000  0.4470355180 0.0000000000
  24.0000000000 500.0000000000  0.4487717101 0.0000000000
  25.0000000000 500.0000000000  0.4504064154 0.0000000000
  26.0000000000 500.0000000000  0.4519228443 0.0000000000
  27.0000000000 500.0000000000  0.4533043278 0.0000000000
  28.0000000000 500.0000000000  0.4545343564 0.0000000000
  29.0000000000 500.0000000000  0.4555966122 0.0000000000
  30.0000000000 500.0000000000  0.4564749940 0.0000000000
  31.0000000000 500.0000000000  0.4571536368 0.0000000000
  32.0000000000 500.0000000000  0.4576169255 0.0000000000
  33.0000000000 500.0000000000  0.4578495017 0.0000000000
  34.0000000000 500.0000000000  0.4578362668 0.0000000000
  35.0000000000 500.0000000000  0.4575623792 0.0000000000
  36.0000000000 500.0000000000  0.4570132478 0.0000000000
  37.0000000000 500.0000000000  0.4561745218 0.0000000000
  38.0000000000 500.0000000000  0.4550320776 0.0000000000
  39.0000000000 500.0000000000  0.4535720036 0.0000000000
  40.0000000000 500.0000000000  0.4517805832 0.0000000000
  41.0000000000 500.0000000000  0.4496442778 0.0000000000
  42.0000000000 500.0000000000  0.4471497088 0.0000000000
  43.0000000000 500.0000000000  0.4442836418 0.0000000000
  44.0000000000 500.0000000000  0.4410329713 0.0000000000
  45.0000000000 500.0000000000  0.4373847090 0.0000000000
