# Incident Angle Wavelength  Reflectance 
  0.0000000000 500.0000000000  0.0999251670 
  0.2499997888 500.0000000000  0.0999178446 
  0.4999995777 500.0000000000  0.0998958752 
  0.7499993665 500.0000000000  0.0998592524 
  0.9999991553 500.0000000000  0.0998079657 
  1.2499989442 500.0000000000  0.0997420002 
  1.4999987330 500.0000000000  0.0996613366 
  1.7499985218 500.0000000000  0.0995659516 
  1.9999983107 500.0000000000  0.0994558175 
  2.2499980995 500.0000000000  0.0993309022 
  2.4999978883 500.0000000000  0.0991911694 
  2.7499976772 500.0000000000  0.0990365785 
  2.9999974660 500.0000000000  0.0988670844 
  3.2499972548 500.0000000000  0.0986826379 
  3.4999970437 500.0000000000  0.0984831850 
  3.7499968325 500.0000000000  0.0982686677 
  3.9999966213 500.0000000000  0.0980390233 
  4.2499964102 500.0000000000  0.0977941846 
  4.4999961990 500.0000000000  0.0975340801 
  4.7499959878 500.0000000000  0.0972586336 
  4.9999957767 500.0000000000  0.0969677644 
  5.2499955655 500.0000000000  0.0966613872 
  5.4999953543 500.0000000000  0.0963394120 
  5.7499951432 500.0000000000  0.0960017442 
  5.9999949320 500.0000000000  0.0956482844 
  6.2499947209 500.0000000000  0.0952789286 
  6.4999945097 500.0000000000  0.0948935679 
  6.7499942985 500.0000000000  0.0944920885 
  6.9999940874 500.0000000000  0.0940743719 
  7.2499938762 500.0000000000  0.0936402946 
  7.4999936650 500.0000000000  0.0931897282 
  7.7499934539 500.0000000000  0.0927225392 
  7.9999932427 500.0000000000  0.0922385892 
  8.2499930315 500.0000000000  0.0917377346 
  8.4999928204 500.0000000000  0.0912198268 
  8.7499926092 500.0000000000  0.0906847121 
  8.9999923980 500.0000000000  0.0901322316 
  9.2499921869 500.0000000000  0.0895622212 
  9.4999919757 500.0000000000  0.0889745115 
  9.7499917645 500.0000000000  0.0883689280 
  9.9999915534 500.0000000000  0.0877452909 
  10.2499913422 500.0000000000  0.0871034153 
  10.4999911310 500.0000000000  0.0864431108 
  10.7499909199 500.0000000000  0.0857641818 
  10.9999907087 500.0000000000  0.0850664278 
  11.2499904975 500.0000000000  0.0843496428 
  11.4999902864 500.0000000000  0.0836136158 
  11.7499900752 500.0000000000  0.0828581306 
  11.9999898640 500.0000000000  0.0820829664 
  12.2499896529 500.0000000000  0.0812878970 
  12.4999894417 500.0000000000  0.0804726918 
  12.7499892305 500.0000000000  0.0796371155 
  12.9999890194 500.0000000000  0.0787809285 
  13.2499888082 500.0000000000  0.0779038867 
  13.4999885970 500.0000000000  0.0770057422 
  13.7499883859 500.0000000000  0.0760862437 
  13.9999881747 500.0000000000  0.0751451363 
  14.2499879635 500.0000000000  0.0741821622 
  14.4999877524 500.0000000000  0.0731970613 
  14.7499875412 500.0000000000  0.0721895716 
  14.9999873300 500.0000000000  0.0711594297 
  15.2499871189 500.0000000000  0.0701063718 
  15.4999869077 500.0000000000  0.0690301342 
  15.7499866965 500.0000000000  0.0679304546 
  15.9999864854 500.0000000000  0.0668070728 
  16.2499862742 500.0000000000  0.0656597320 
  16.4999860630 500.0000000000  0.0644881805 
  16.7499858519 500.0000000000  0.0632921730 
  16.9999856407 500.0000000000  0.0620714724 
  17.2499854295 500.0000000000  0.0608258520 
  17.4999852184 500.0000000000  0.0595550979 
  17.7499850072 500.0000000000  0.0582590115 
  17.9999847960 500.0000000000  0.0569374129 
  18.2499845849 500.0000000000  0.0555901442 
  18.4999843737 500.0000000000  0.0542170733 
  18.7499841626 500.0000000000  0.0528180992 
  18.9999839514 500.0000000000  0.0513931566 
  19.2499837402 500.0000000000  0.0499422221 
  19.4999835291 500.0000000000  0.0484653215 
  19.7499833179 500.0000000000  0.0469625373 
  19.9999831067 500.0000000000  0.0454340180 
  20.2499828956 500.0000000000  0.0438799889 
  20.4999826844 500.0000000000  0.0423007638 
  20.7499824732 500.0000000000  0.0406967595 
  20.9999822621 500.0000000000  0.0390685120 
  21.2499820509 500.0000000000  0.0374166949 
  21.4999818397 500.0000000000  0.0357421422 
  21.7499816286 500.0000000000  0.0340458733 
  21.9999814174 500.0000000000  0.0323291231 
  22.2499812062 500.0000000000  0.0305933770 
  22.4999809951 500.0000000000  0.0288404123 
  22.7499807839 500.0000000000  0.0270723464 
  22.9999805727 500.0000000000  0.0252916944 
  23.2499803616 500.0000000000  0.0235014372 
  23.4999801504 500.0000000000  0.0217051024 
  23.7499799392 500.0000000000  0.0199068613 
  23.9999797281 500.0000000000  0.0181116455 
  24.2499795169 500.0000000000  0.0163252869 
  24.4999793057 500.0000000000  0.0145546883 
  24.7499790946 500.0000000000  0.0128080303 
  24.9999788834 500.0000000000  0.0110950256 
  25.2499786722 500.0000000000  0.0094272324 
  25.4999784611 500.0000000000  0.0078184428 
  25.7499782499 500.0000000000  0.0062851689 
  25.9999780387 500.0000000000  0.0048472550 
  26.2499778276 500.0000000000  0.0035286550 
  26.4999776164 500.0000000000  0.0023584296 
  26.7499774052 500.0000000000  0.0013720370 
  26.9999771941 500.0000000000  0.0006130245 
  27.2499769829 500.0000000000  0.0001352705 
  27.4999767717 500.0000000000  0.0000059983 
  27.7499765606 500.0000000000  0.0003098909 
  27.9999763494 500.0000000000  0.0011548044 
  28.2499761382 500.0000000000  0.0026798605 
  28.4999759271 500.0000000000  0.0050671669 
  28.7499757159 500.0000000000  0.0085592394 
  28.9999755047 500.0000000000  0.0134856935 
  29.2499752936 500.0000000000  0.0203056361 
  29.4999750824 500.0000000000  0.0296779729 
  29.7499748712 500.0000000000  0.0425844170 
  29.9999746601 500.0000000000  0.0605597577 
  30.2499744489 500.0000000000  0.0861629518 
  30.4999742378 500.0000000000  0.1240666517 
  30.7499740266 500.0000000000  0.1840839131 
  30.9999738154 500.0000000000  0.2927035636 
  31.2499736043 500.0000000000  0.5945108139 
  31.4999733931 500.0000000000  1.0000000000 
  31.7499731819 500.0000000000  1.0000000000 
  31.9999729708 500.0000000000  1.0000000000 
  32.2499727596 500.0000000000  1.0000000000 
  32.4999725484 500.0000000000  1.0000000000 
  32.7499723373 500.0000000000  1.0000000000 
  32.9999721261 500.0000000000  1.0000000000 
  33.2499719149 500.0000000000  1.0000000000 
  33.4999717038 500.0000000000  1.0000000000 
  33.7499714926 500.0000000000  1.0000000000 
  33.9999712814 500.0000000000  1.0000000000 
  34.2499710703 500.0000000000  1.0000000000 
  34.4999708591 500.0000000000  1.0000000000 
  34.7499706479 500.0000000000  1.0000000000 
  34.9999704368 500.0000000000  1.0000000000 
  35.2499702256 500.0000000000  1.0000000000 
  35.4999700144 500.0000000000  1.0000000000 
  35.7499698033 500.0000000000  1.0000000000 
  35.9999695921 500.0000000000  1.0000000000 
  36.2499693809 500.0000000000  1.0000000000 
  36.4999691698 500.0000000000  1.0000000000 
  36.7499689586 500.0000000000  1.0000000000 
  36.9999687474 500.0000000000  1.0000000000 
  37.2499685363 500.0000000000  1.0000000000 
  37.4999683251 500.0000000000  1.0000000000 
  37.7499681139 500.0000000000  1.0000000000 
  37.9999679028 500.0000000000  1.0000000000 
  38.2499676916 500.0000000000  1.0000000000 
  38.4999674804 500.0000000000  1.0000000000 
  38.7499672693 500.0000000000  1.0000000000 
  38.9999670581 500.0000000000  1.0000000000 
  39.2499668469 500.0000000000  1.0000000000 
  39.4999666358 500.0000000000  1.0000000000 
  39.7499664246 500.0000000000  1.0000000000 
  39.9999662134 500.0000000000  1.0000000000 
  40.2499660023 500.0000000000  1.0000000000 
  40.4999657911 500.0000000000  1.0000000000 
  40.7499655799 500.0000000000  1.0000000000 
  40.9999653688 500.0000000000  1.0000000000 
  41.2499651576 500.0000000000  1.0000000000 
  41.4999649464 500.0000000000  1.0000000000 
  41.7499647353 500.0000000000  1.0000000000 
  41.9999645241 500.0000000000  1.0000000000 
  42.2499643129 500.0000000000  1.0000000000 
  42.4999641018 500.0000000000  1.0000000000 
  42.7499638906 500.0000000000  1.0000000000 
  42.9999636795 500.0000000000  1.0000000000 
  43.2499634683 500.0000000000  1.0000000000 
  43.4999632571 500.0000000000  1.0000000000 
  43.7499630460 500.0000000000  1.0000000000 
  43.9999628348 500.0000000000  1.0000000000 
  44.2499626236 500.0000000000  1.0000000000 
  44.4999624125 500.0000000000  1.0000000000 
  44.7499622013 500.0000000000  1.0000000000 
  44.9999619901 500.0000000000  1.0000000000 
  45.2499617790 500.0000000000  1.0000000000 
  45.4999615678 500.0000000000  1.0000000000 
  45.7499613566 500.0000000000  1.0000000000 
  45.9999611455 500.0000000000  1.0000000000 
  46.2499609343 500.0000000000  1.0000000000 
  46.4999607231 500.0000000000  1.0000000000 
  46.7499605120 500.0000000000  1.0000000000 
  46.9999603008 500.0000000000  1.0000000000 
  47.2499600896 500.0000000000  1.0000000000 
  47.4999598785 500.0000000000  1.0000000000 
  47.7499596673 500.0000000000  1.0000000000 
  47.9999594561 500.0000000000  1.0000000000 
  48.2499592450 500.0000000000  1.0000000000 
  48.4999590338 500.0000000000  1.0000000000 
